territory	preytype	moosedensity	roedensity	daynumber	timesincekill	nutritionalstatus	snowdepthm
4	1	2.32	0.00	66	4.80	-3	0.35
4	1	1.52	0.00	68	2.30	49	0.31
4	1	1.52	0.00	68	0.00	228	0.31
4	0	1.36	0.00	74	5.50	-17	0.16
4	1	4.34	1.02	76	2.00	55	0.10
4	0	1.32	0.00	78	2.00	187	0.10
4	0	3.20	0.00	80	1.80	190	0.08
4	0	1.96	0.00	83	3.30	29	0.00
4	1	0.89	0.00	87	3.90	16	0.00
4	0	0.99	0.00	89	2.30	181	0.00
4	0	3.20	0.00	94	4.70	0	0.00
4	1	0.92	0.00	95	1.20	131	0.00
5	0	0.33	4.24	40			0.11
5	1	1.27	3.48	41	1.00	1	0.09
5	0	1.27	3.48	42	1.00	1	0.09
5	0	1.20	5.44	43	1.20	-5	0.09
5	1	0.00	2.31	44	0.80	5	0.09
5	1	1.08	4.23	45	1.10	-3	0.09
5	1	0.53	3.38	46	0.90	3	0.09
5	0	3.04	2.28	47	1.70	-14	0.09
5	1	3.04	2.28	47	0.00	16	0.09
5	1	0.44	1.67	48	0.50	7	0.09
5	1	2.03	1.61	49	0.90	0	0.09
5	1	1.81	1.82	49	0.50	3	0.09
5	1	1.81	1.82	50	0.50	7	0.09
5	0	1.81	1.82	50	0.40	148	0.09
5	1	1.83	0.00	52	1.60	198	0.09
5	0	1.83	0.00	52	0.00	217	0.09
5	1	0.24	2.57	53	0.80	117	0.09
5	0	0.24	2.57	53	0.40	90	0.09
5	0	0.92	3.73	54	1.10	78	0.09
5	1	1.15	2.25	54	0.10	92	0.09
5	1	0.72	1.52	55	1.00	89	0.09
5	0	0.43	0.55	56	0.80	91	0.09
5	0	0.43	0.55	56	0.20	102	0.09
5	1	0.83	1.17	57	0.40	114	0.09
5	0	1.61	1.54	61	3.90	158	0.08
5	0	1.61	1.54	62	1.00	138	0.08
5	0	2.03	1.61	62	0.40	146	0.08
5	0	2.03	2.80	63	0.60	152	0.08
5	1	0.34	9.69	63	0.50	158	0.08
5	0	0.34	9.69	63	0.00	173	0.08
5	0	3.50	4.21	65	1.40	165	0.08
5	0	0.53	3.38	65	0.50	168	0.11
5	0	0.43	0.55	66	1.00	168	0.08
5	0	2.03	1.61	68	1.50	155	0.07
5	0	0.72	0.51	71	2.80	118	0.00
5	0	3.32	6.83	71	0.80	83	0.00
5	0	1.61	1.54	75	3.70	32	0.00
5	1	3.46	0.52	77	1.60	15	0.00
5	0	0.64	1.02	78	1.40	75	0.00
5	0	0.53	3.38	78	0.10	96	0.00
5	0	0.72	9.91	80	2.00	74	0.00
5	0	0.57	10.94	85	4.30	14	0.00
5	0	2.03	1.61	86	1.10	11	0.00
5	1	2.03	1.61	86	0.40	16	0.00
5	0	2.03	2.80	90	3.80	35	0.00
5	1	1.45	3.26	91	0.70	37	0.00
5	1	1.61	1.54	93	2.70	50	0.00
5	0	1.20	5.44	94	1.00	80	0.00
5	0	0.36	1.14	98	4.00	25	0.00
5	0	0.36	1.14	98	0.10	40	0.00
5	0	0.57	10.94	102	3.40	38	0.00
6	1	0.97	0.00	33			0.24
6	1	0.97	0.00	38	5.00	60	0.24
6	1	2.17	0.00	39	0.80	150	0.24
6	1	2.17	0.00	39	0.00	97	0.24
6	1	0.45	0.00	45	6.40	185	0.24
6	0	0.41	2.58	50	4.60	63	0.21
6	1	1.32	0.00	53	3.20	55	0.20
6	1	0.61	0.00	58	4.70	120	0.25
6	1	0.82	0.00	62	4.20	66	0.22
6	0	0.45	0.00	65	3.00	205	0.20
6	1	0.71	0.00	67	1.90	117	0.20
6	0	1.29	0.00	75	7.80	169	0.16
6	0	1.32	0.00	79	4.70	121	0.01
6	0	2.02	0.00	84	4.80	120	0.00
6	1	1.65	0.00	86	1.60	124	0.00
7	1	5.22	0.50	43			0.26
7	1	4.19	0.00	49	6.10	140	0.22
7	1	4.19	0.00	49	0.10	155	0.22
7	0	2.18	0.00	50	0.50	91	0.22
7	1	4.19	0.00	70	2.90	56	0.20
8	1	1.07	0.00	31			0.15
8	1	0.82	0.00	33	2.00	218	0.07
8	1	0.71	0.00	34	1.40	198	0.06
8	0	1.17	0.00	38	1.10	74	0.06
8	1	2.61	0.00	43	5.00	52	0.04
8	1	1.83	0.00	44	1.00	208	0.06
8	1	1.64	0.00	49	5.30	118	0.11
8	1	0.62	0.00	55	6.00	32	0.18
8	1	2.78	0.00	57	1.90	188	0.16
8	1	1.89	0.55	63	6.40	94	0.12
8	1	1.15	0.00	72	9.00	-90	0.06
8	1	1.15	0.00	73	0.60	0	0.06
8	1	0.25	0.00	75	2.00	-28	0.06
8	1	0.00	0.00	79	4.00	143	0.03
8	0	1.53	0.57	82	3.40	26	0.03
8	1	1.53	0.57	83	0.50	88	0.03
8	1	0.42	0.00	89	6.20	-32	0.00
8	1	2.45	0.00	94	5.30	116	0.00
8	0	2.74	0.00	96	2.00	87	0.00
8	1	2.45	0.00	101	4.20	10	0.00
8	1	1.57	0.55	103	2.40	47	0.00
8	1	0.34	0.00	108	5.30	-13	0.00
8	1	0.54	0.00	110	1.80	60	0.00
8	1	0.54	0.00	110	0.00	228	0.00
9	0	1.18	0.00	48			0.49
9	1	1.96	0.00	51	3.30	208	0.56
9	0	2.31	0.00	52	0.80	150	0.56
9	1	0.56	0.00	59	7.00	131	0.50
9	0	0.26	0.00	69	10.40	150	0.71
9	1	1.96	0.00	75	5.70	55	0.68
9	1	0.61	0.00	81	0.90	68	0.62
9	1	0.16	0.30	84	3.00	205	0.60
9	0	1.03	0.00	84	0.10	220	0.60
9	1	0.26	0.00	88	3.90	225	0.55
9	1	2.37	0.00	89	1.20	231	0.54
9	1	1.96	0.00	91	1.70	215	0.55
9	1	1.25	0.00	100	5.80	54	0.46
9	0	0.77	0.00	15			0.03
9	1	0.48	0.00	20	4.60	-13	0.07
9	1	0.39	0.00	24	4.10	-1	0.23
9	1	0.00	0.61	30	6.20	-17	0.20
9	1	1.40	1.19	35	5.10	-24	0.15
9	1	1.20	0.00	43	8.00	53	0.25
9	1	0.81	0.00	48	5.00	-21	0.22
9	1	1.94	0.00	61	5.80	22	0.30
9	1	1.18	0.00	63	2.10	47	0.27
10	1	1.82	3.31	-20			0.00
10	1	0.48	3.06	-9	11.10	-199	0.12
10	1	1.84	0.65	3	4.00	-23	0.19
10	1	0.35	0.56	9	5.90	52	0.19
10	1	1.75	5.94	11	2.20	33	0.08
10	1	0.26	2.51	86	7.80		0.16
10	1	0.68	0.86	101	5.90		0.19
10	1	0.25	0.53	-39	13.20	-77	0.00
10	1	0.93	1.78	-32	6.70	142	0.00
11	1	0.24	0.00	43			0.25
11	1	1.35	0.00	47	4.80	61	0.15
11	1	0.70	0.00	52	4.90	61	0.00
11	1	1.59	1.44	53	1.00	68	0.00
11	1	3.40	0.00	56	2.80	77	0.00
11	1	1.28	0.00	58	2.20	81	0.00
11	1	0.86	3.66	60	2.00	82	0.02
11	1	3.24	1.72	62	2.00	83	0.07
11	1	1.04	0.00	68	5.50	56	0.02
11	1	0.93	0.00	68	0.60	93	0.01
11	1	0.93	0.00	76	7.50	171	0.00
11	1	0.47	0.00	81	5.30	116	0.02
11	1	3.40	0.00	84	3.10	74	0.04
11	1	1.88	5.98	88	3.90	68	0.09
12	1	1.28	0.74	53	0.10	18	0.58
12	1	1.28	0.74	53			0.58
12	1	1.82	9.55	55	1.50	4	0.56
12	1	1.82	9.55	55	0.00	19	0.56
12	1	0.88	1.41	61	1.70	3	0.50
12	1	0.88	1.41	59	1.40	5	0.50
12	1	1.33	7.79	66	3.80	-13	0.49
12	1	0.88	1.41	62	1.20	7	0.50
12	1	1.82	9.55	58	1.60	3	0.51
12	1	0.00	11.36	56	1.40	9	0.53
12	1	0.49	0.00	70	0.30	17	0.47
12	1	0.61	1.30	70	0.30	11	0.47
12	1	0.84	6.39	73	0.00	18	0.42
12	1	0.00	6.20	73	2.00	94	0.42
12	1	0.84	6.39	73	0.00	37	0.42
12	1	0.00	6.20	73	0.00	113	0.42
12	1	0.61	1.30	70	3.80	-13	0.48
12	1	0.49	0.00	76	1.10	8	0.37
12	0	0.49	0.00	75	1.60	7	0.40
12	0	0.84	6.39	79	0.40	16	0.32
12	0	0.61	1.30	77	1.30	6	0.32
12	0	0.49	0.00	79	1.60	7	0.30
12	1	0.88	1.41	80	1.20	10	0.34
12	1	2.29	1.82	83	0.80	9	0.27
12	1	0.00	0.00	82	1.80	5	0.29
12	0	0.67	2.83	85	0.60	11	0.24
12	0	3.42	10.87	86	0.90	12	0.22
12	0	0.00	6.20	84	0.00	16	0.24
12	1	0.00	6.20	84	0.00	19	0.24
12	0	0.00	6.20	87	1.00	11	0.17
12	1	0.67	2.83	84	1.30	6	0.24
12	1	0.00	6.20	86	0.20	17	0.19
12	1	0.84	6.39	88	1.00	8	0.15
12	0	3.24	0.59	89	0.70	14	0.15
12	0	0.49	0.00	89	0.00	15	0.15
12	0	0.49	0.00	89	0.00	16	0.15
12	0	3.24	0.59	90	1.20	7	0.12
12	0	3.24	0.59	91	1.10	10	0.07
12	1	1.82	9.55	93	2.10	3	0.02
11	1	1.20	0.00	-90			0.00
11	1	1.28	0.00	-82	1.10	71	0.00
11	1	2.54	0.00	-78	3.90	4	0.00
11	0	0.00	0.00	-72	2.00	49	0.00
11	0	0.00	0.00	-61	11.20	-170	0.00
11	0	0.75	0.00	-54	7.20	-75	0.00
11	1	0.32	0.00	-49	5.00	-21	0.15
11	1	1.23	0.00	-42	6.40	4	0.05
13	1	2.58	0.00	56			0.70
13	1	0.45	0.72	62	5.80	-5	0.60
13	1	0.46	0.00	66	1.20	111	0.58
13	1	2.84	0.00	73	7.00	105	0.55
13	1	0.78	0.00	78	4.70	14	0.50
13	1	0.09	0.00	81	3.40	168	0.45
13	1	0.11	0.00	87	5.40	133	0.30
13	1	2.39	0.00	95	8.60	4	0.25
13	0	0.65	0.00	99	4.00	27	0.25
13	1	0.00	0.00	107	8.00	-43	0.40
13	0	0.09	0.00	65	3.20	44	0.58
14	1	1.64	0.00	46			0.67
14	1	0.70	0.00	50	4.20	10	0.70
14	1	5.67	0.00	72	4.30	8	0.81
14	1	0.74	0.00	80	7.90	-62	0.57
14	1	1.31	0.00	89	9.00	-86	0.58
14	0	1.64	0.00	93	4.00	13	0.52
14	0	1.26	0.00	96	3.00	35	0.39
14	0	0.57	0.00	92			0.45
14	0	2.71	0.00	95	2.00	38	0.43
14	1	1.82	0.00	93	1.30	58	0.45
14	0	3.40	0.00	103	3.90	-18	0.23
14	1	1.21	0.00	99	3.80	-13	0.30
14	0	1.35	0.00	105	2.10	36	0.15
14	0	0.47	0.00	111	4.20	-26	0.00
14	1	1.34	0.00	107	0.70	76	0.15
15	1	10.60	0.00	26			0.09
15	1	6.19	0.42	27	1.30	88	0.09
15	1	1.31	5.98	29	1.70	88	0.12
15	1	0.56	1.63	34	4.90	67	0.22
15	1	1.80	0.54	38	4.10	-18	0.34
15	1	1.36	1.44	40	2.00	1	0.27
15	1	7.56	0.00	42	2.30	-2	0.22
15	1	3.09	1.12	45	2.70	-7	0.22
15	1	3.09	1.12	47	2.30	80	0.22
15	1	3.12	1.51	50	2.80	72	0.22
15	1	3.12	1.51	52	1.70	75	0.22
15	1	1.36	1.44	53	1.60	86	0.22
15	1	0.62	0.00	55	1.90	87	0.22
15	1	3.09	1.12	61	6.00	58	0.22
15	0	1.68	0.00	64	2.50	2	0.23
15	1	1.52	2.23	68	2.90	-6	0.20
15	0	3.12	1.51	71	3.00	-7	0.12
15	0	1.36	1.44	72	1.00	8	0.10
15	1	2.46	1.16	75	2.50	0	0.06
13	0	0.09	0.00	78			0.85
13	1	0.46	0.00	87	8.50	-130	0.75
13	1	0.58	1.23	90	3.60	1	0.70
13	1	0.00	0.00	93	2.90	20	0.65
16	1	1.88	0.00	70			0.47
16	1	1.88	0.00	70	0.00	98	0.47
16	0	1.88	0.00	108	24.30	-27	0.00
16	1	2.10	0.00	61			0.27
16	1	0.38	0.00	65	3.80	55	0.17
16	1	2.30	0.00	68	2.70	68	0.00
16	0	2.30	0.00	81	13.80	-55	0.00
16	0	2.36	0.00	90	8.70	2	0.00
